location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T05-E01,JCP_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,
T05-E03,FUR_02,2,DSC_0188,1.017,8.434,0.18,2.304,3671,1479,92.944,1.559,1.36,0.735,0.455,0.222,0.212,0.364,1.246,39.935,0.914,-32.166,0,0,,
T05-E05,HES_07,3,DSC_0029,1.12,8.972,0.175,2.389,4055,2364,91.898,1.411,1.989,0.503,0.534,0.208,0.216,0.534,0.847,34.972,0.759,-25.837,0,0,,
T05-E07,SUC_06,3,DSC_0036,1.26,9.006,0.195,2.416,4094,3091,68.575,1.56,1.649,0.607,0.544,0.241,0.221,0.589,0.887,2.989,0.823,-44.825,0,0,,
T05-E09,LIC_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,second flower had sterile anthers,
T05-E11,OGP_05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,
T05-E13,BFF_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower,
T05-F02,PMS_07,4,DSC_0010,0.874,8.408,0.155,1.954,3900.333,2773.667,140.72,1.479,1.309,0.764,0.451,0.244,0.253,0.372,0.922,68.085,1.045,5.943,1,0,,
T05-F04,TIC_04,3,DSC_0156,0.548,5.601,0.219,1.604,2095,2709,102.078,0.971,1.678,0.596,0.571,0.175,0.186,0.383,0.648,43.787,0.652,-30.654,0,0,,
T05-F06,FUR_05,3,DSC_0139,1.492,8.655,0.25,2.42,4002,1633,97.916,1.712,1.167,0.857,0.595,0.416,0.448,0.58,0.936,42.084,1.169,-22.286,1,0,,
T05-F08,BBU_08,3,DSC_0157,2.247,10.778,0.243,2.977,2544,1769,85.655,2.321,1.182,0.846,0.521,0.377,0.357,0.813,1.356,19.796,1.493,-26.56,0,0,,
T05-F10,FUR_01,3,DSC_0040,1.589,9.054,0.244,2.685,2869,3062,77.853,1.732,1.268,0.788,0.557,0.322,0.391,0.432,1.224,23.772,0.937,-39.806,0,0,,
T05-F12,GPN_15,3,DSC_0176,1.795,9.644,0.242,2.396,2019,1587,98.973,1.89,1.008,0.992,0.626,0.478,0.441,0.886,1.069,29.883,0.952,-14.945,0,0,,
T05-F14,STM_12,3,DSC_0142,1.5,9.326,0.217,2.372,3555,2953,40.677,1.853,1.244,0.804,0.542,0.317,0.246,0.586,1.232,-24.986,1.113,96.525,1,0,weird feret angle because petal is upsidedown,
T05-G01,GPN_19,4,DSC_0164,1.102,8.202,0.206,2.058,4018,2924,103.698,1.586,1.045,0.956,0.543,0.254,0.273,0.538,1.011,39.104,0.938,-13.027,0,0,,
