location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T01-A01,STM_17,3,DSC_0035,1.18,7.9,0.238,1.918,4119,3273,87.718,1.545,1.102,0.907,0.603,0.261,0.274,0.608,1.051,33.008,0.99,-30.343,0,0,, DSC_0008 
T01-A03,TIC_09,3,DSC_0035,0.4,4.524,0.246,1.394,4030,1601,112.861,0.719,2.065,0.484,0.649,0.142,0.094,0.222,0.492,52.645,0.344,-15.627,1,0,, DSC_0010
T01-A05,SUC_01,3,DSC_0033,1.361,10.436,0.157,2.503,4234,2496,86.82,1.857,1.601,0.625,0.456,0.163,0.196,0.535,1.012,23.663,1.144,-29.055,0,0,, DSC_0012
T01-A07,CRE_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,, DSC_0013
T01-A09,OGP_04,3,DSC_0158,1.539,10.27,0.183,2.265,3419,2886,5.934,1.771,1.166,0.858,0.543,0.345,0.4123,0.717,1.306,33.315,1.184,-24.168,2,0,only bottom of stem not highlighted, DSC_0014
T01-A11,CRE_13,3,DSC_0171,0.897,7.006,0.23,2.2,2291.5,1638,75.08,1.411,1.524,0.656,0.489,0.16,0.155,0.447,0.855,17.99,0.908,-39.297,0,0,feret angle is low (75), DSC_0015
T01-A13,TIC_18,3,DSC_0033,2.069,11.783,0.187,3.06,1911.667,2254.833,104.722,2.127,1.235,0.81,0.515,0.335,0.342,0.749,1.267,39.644,1.25,-3.835,0,0,, DSC_0016
T01-B02,SUC_02,3,DSC_0154,1.496,9.948,0.19,2.298,2388,1616,75.927,1.807,1.166,0.858,0.564,0.329,0.378,0.561,1.257,18.202,0.92,-31.591,0,0,, DSC_0020
T01-B04,HES_01,3,DSC_0149,0.894,8.254,0.165,2.109,4253,1458,86.924,1.388,1.443,0.693,0.49,0.202,0.23,0.53,0.921,32.171,0.858,-24.687,0,0,, DSC_0021
T01-B06,BRD_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0022
T01-B08,CRE_15,2,DSC_0181,0.502,5.384,0.217,1.805,1956.5,1758.75,83.977,0.897,2.331,0.429,0.506,0.2,0.202,0.241,0.675,53.014,0.782,-45.354,0,0,did not produce third flower , DSC_0023
T01-B10,PMS_18,3,DSC_0031,0.742,6.627,0.212,1.788,2482,2596,86.201,1.24,1.575,0.635,0.542,0.208,0.179,0.365,0.861,29.956,0.761,-40.298,0,0,, DSC_0024
T01-B12,CRE_18,3,DSC_0155,1.263,9.068,0.193,1.978,2265,3015,73.301,1.675,1.108,0.903,0.557,0.354,0.334,0.493,1.057,10.66,0.951,-43.958,0,0,, DSC_0025
T01-B14,PMS_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,too many abnormalities, DSC_0026
T01-C01,MEB_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,, DSC_0027
T01-C03,KAB_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0028
T01-C05,HES_08,3,DSC_0175,0.409,4.732,0.23,1.414,2348.667,857.667,96.182,0.904,1.347,0.742,0.545,0.19,0.187,0.201,0.375,18.542,0.559,-19.867,0,0,, DSC_0029
T01-C07,KAB_11,3,DSC_0185,0.358,4.115,0.265,1.203,1902,1470.75,25.843,0.839,1.45,0.69,0.577,0.155,0.132,0.282,0.536,146.379,0.519,81.979,0,0,angles weird because the petal is sideways, DSC_0030
T01-C09,HES_18,3,DSC_0154,0.857,9.927,0.109,2.545,3783,1665,83.146,1.163,2.411,0.415,0.499,0.134,0.152,0.375,0.555,19.591,0.663,-22.923,0,0,, DSC_0031
T01-C11,KAB_19,3,DSC_0043,0.936,7.501,0.209,1.837,3955,2783,90.885,1.28,1.121,0.892,0.606,0.389,0.364,0.552,0.892,32.995,0.783,-42.797,0,0,, DSC_0032
T01-C13,TIC_05,3,DSC_0035,1.703,10.939,0.179,2.545,2343,1973,72.208,1.915,1.257,0.796,0.565,0.342,0.32,0.726,1.008,7.516,1.16,-42.089,0,0,, DSC_0033
T01-D02,STM_01,3,DSC_0192,0.386,3.942,0.312,1.289,1724,1706,79.16,0.608,2.263,0.442,0.766,0.135,0.119,0.229,0.295,2.617,0.287,-39.289,0,0,, DSC_0034
T01-D04,LRR_18,3,DSC_0035,1.254,9.539,0.173,2.218,2408,3001,103.949,1.724,1.273,0.785,0.525,0.252,0.224,0.567,1.051,43.394,1.021,-7.028,0,0,, DSC_0035
T01-D06,LRR_17,3,DSC_0034,0.942,10.216,0.113,2.419,4183,2909,100.547,1.752,1.389,0.72,0.373,0.159,0.206,0.334,1.018,34.136,1.043,0,0,0,, DSC_0036
T01-D08,BFF_05,3,DSC_0047,1.091,9.347,0.157,2.636,4051,1359,91.519,1.767,1.433,0.698,0.386,0.211,0.194,0.453,1.367,36.753,1.209,-40.35,0,0,, DSC_0037
T01-D10,CRE_11,3,DSC_0160,1.542,10.603,0.172,2.745,2230,1474,104.714,1.804,1.46,0.685,0.518,0.307,0.337,0.676,1.081,45.264,1.111,-15.446,0,0,, DSC_0038
T01-D12,MEB_14,3,DSC_0031,1.595,10.155,0.194,2.704,4012,2350,90.591,1.964,1.231,0.813,0.477,0.264,0.26,0.53,1.389,30.619,1.428,-38.66,2,0,, DSC_0039
T01-D14,BRD_18,3,DSC_0160,0.626,5.738,0.239,1.589,4134,1636,102.804,1.105,1.232,0.811,0.548,0.201,0.243,0.379,0.857,49.833,0.791,-30.22,0,0,, DSC_0040
T01-E01,PMS_14,4,DSC_0040,0.251,2.802,0.402,1.009,4609,1525,68.199,0.534,2.286,0.437,0.731,0.098,0.101,0.239,0.373,22.884,0.351,-61.97,0,0,, DSC_0041
T01-E03,PMS_06,3,DSC_0040,0.899,7.133,0.222,1.988,4647.375,2555.875,91.513,1.228,1.45,0.69,0.547,0.227,0.311,0.451,0.753,-71.405,0.645,41.9,0,0,, DSC_0042
T01-E05,FUR_12,3,DSC_0027,1.939,12.02,0.169,2.775,2569,1703,85.361,2.052,1.044,0.958,0.53,0.445,0.399,0.64,1.385,27.542,1.43,-39.569,0,0,, DSC_0043
T01-E07,BFF_14,4,DSC_0179,0.932,7.939,0.186,2.272,1905,1540.333,91.704,1.434,1.607,0.622,0.489,0.138,0.172,0.459,0.797,31.255,0.912,-23.836,2,0,, DSC_0044
T01-E09,JCP_06,3,DSC_0041,1.062,7.322,0.249,1.928,4046,2363,96.455,1.476,1.022,0.978,0.561,0.351,0.324,0.504,1.049,38.779,1.023,-31.3,0,0,, DSC_0045
T01-E11,TIC_20,3,DSC_0041,1.064,8.84,0.171,2.444,2254.667,2778.667,75.248,1.766,1.395,0.717,0.411,0.188,0.207,0.454,1.304,21.06,1.119,-48.039,1,0,, DSC_0046
T01-E13,BFF_13,3,DSC_0024,1.322,8.674,0.221,2.233,2434.5,1352.5,86.078,1.704,1.154,0.867,0.516,0.303,0.343,0.596,1.235,33.263,1.191,-37.637,0,0,, DSC_0047
T01-F02,BRD_03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0136
T01-F04,FUR_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower , DSC_0137
T01-F06,JCP_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0138
T01-F08,OGP_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0139
T01-F10,PMS_08,3,DSC_0015,0.933,7.776,0.194,1.933,3804.333,1333.333,171.668,1.392,1.335,0.749,0.558,0.236,0.198,0.394,0.912,-67.443,0.747,64.759,1,0,, DSC_0140
T01-F12,HES_11,3,DSC_0044,1.467,11.793,0.133,2.694,2466,1534,99.782,1.922,1.145,0.873,0.442,0.372,0.321,0.577,1.131,39.44,1.175,-15.285,0,0,, DSC_0141
T01-F14,OGP_08,3,DSC_0193,0.444,4.639,0.26,1.324,1774,1058,96.371,0.905,1.549,0.646,0.605,0.16,0.156,0.377,0.591,34.721,0.521,-27.508,1,0,petal is not completely flat , DSC_0142
T01-G01,SUC_11,3,DSC_0140,1.172,8.022,0.229,2.046,2299,1965,86.764,1.577,1.126,0.888,0.564,0.304,0.286,0.46,1.015,30.667,1.089,-36.509,0,0,, DSC_0143
T01-G03,LIC_14,3,DSC_0186,0.396,4.599,0.235,1.311,2614,1380,92.437,0.853,1.485,0.674,0.586,0.193,0.187,0.251,0.581,35.405,0.451,-31.724,0,0,, DSC_0144
T01-G05,CRE_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated, DSC_0145
T01-G07,PMS_13,3,DSC_0031,0.672,5.9,0.243,1.713,3889,1246,73.703,1.087,1.489,0.672,0.589,0.251,0.247,0.367,0.714,21.178,0.684,-53.072,0,0,, DSC_0146
T01-G09,STM_06,3,DSC_0140,0.75,7.689,0.159,1.921,3863,1750,95.175,1.415,1.363,0.733,0.457,0.167,0.147,0.354,0.834,34.962,1.016,-28.067,0,0,, DSC_0147
T01-G11,SUC_13,3,DSC_0041,1.131,7.117,0.281,1.958,2309,1101,101.952,1.429,1.151,0.868,0.626,0.303,0.267,0.589,0.996,36.87,0.901,-28.752,0,0,, DSC_0148
T01-G13,BRD_05,3,DSC_0149,1.344,9.05,0.206,2.271,2901,1045,92.221,1.677,1.128,0.887,0.575,0.43,0.374,0.545,0.745,22.564,0.901,-18.308,0,0,, DSC_0149
T02-A01,FUR_06,2,DSC_0179,0.849,6.744,0.235,2.221,1992,2920,90.874,1.272,1.828,0.547,0.505,0.251,0.232,0.352,0.785,32.661,0.874,-41.228,0,0,, DSC_0150
T02-A03,OGP_15,3,DSC_0034,1.671,11.402,0.162,2.53,2413,3146,59.092,2.082,1.262,0.792,0.48,0.302,0.29,0.541,1.4,1.461,1.068,-58.116,0,0,, DSC_0151
T02-A05,BRD_11,2,DSC_0166,0.653,5.289,0.293,1.623,2114,1445,100.263,1.101,1.282,0.78,0.584,0.254,0.204,0.421,0.854,45.546,0.746,-31.202,0,0,, DSC_0152
T02-A07,HES_02,3,DSC_0158,1.305,9.916,0.167,2.513,2197,1674,88.557,1.809,1.462,0.684,0.441,0.165,0.208,0.543,1.235,35.228,1.171,-24.563,0,0,, DSC_0153
T02-A09,HES_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower , DSC_0154
T02-A11,JCP_02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,only produced one flower , DSC_0155
T02-A13,BBU_02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,, DSC_0156
T02-B02,STM_15,3,DSC_0044,0.989,9.113,0.15,2.185,4058,1181,6.85,1.743,1.143,0.875,0.403,0.189,0.15,0.406,1.324,33.944,1.175,-25.951,0,0,, DSC_0157
T02-B04,BBU_04,3,DSC_0178,1.271,9.467,0.178,2.423,4249,1875,86.272,1.83,1.375,0.727,0.445,0.287,0.21,0.449,1.336,27.485,1.243,-35.354,1,0,, DSC_0158
T02-B06,LRR_20,3,DSC_0024,1.287,8.63,0.217,2.08,4264,1325,85.07,1.595,1.284,0.779,0.615,0.292,0.237,0.603,0.832,15.695,0.945,-26.715,0,0,, DSC_0159
T02-B08,TIC_11,3,DSC_0142,0.827,8.189,0.155,2.103,1978,1960,77.3,1.415,1.559,0.641,0.447,0.234,0.18,0.435,1.159,25.287,0.787,-45.372,1,0,, DSC_0160
T02-B10,MEB_03,3,DSC_0034,1.194,11.148,0.121,2.623,2092,1494,78.537,1.82,1.629,0.614,0.388,0.162,0.202,0.41,1.351,30.496,1.275,-48.633,1,0,, DSC_0161
T02-B12,PMS_17,3,DSC_0016,1.066,7.821,0.219,2.042,2078.75,1365,117.685,1.411,1.348,0.742,0.579,0.263,0.299,0.441,0.681,171.757,0.892,-46.68,1,0,, DSC_0162
T02-B14,LRR_11,3,DSC_0039,1.53,9.331,0.221,2.38,4111,2446,99.742,1.84,1.101,0.908,0.571,0.325,0.292,0.645,0.999,26.021,1.111,-14.744,0,0,, DSC_0163
T02-C01,OGP_09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated, DSC_0164
T02-C05,BFF_02,3,DSC_0046,1.181,9.136,0.178,2.243,2904,1947,88.905,1.46,1.507,0.664,0.539,0.32,0.241,0.481,0.779,13.526,0.7,-19.359,0,0,, DSC_0165
T02-C07,GPN_13,3,DSC_0177,0.745,7.501,0.166,1.958,1743,2081,112.834,1.363,1.367,0.731,0.453,0.21,0.213,0.399,0.843,55.257,0.97,-19.165,0,0,, DSC_0166
T02-C09,BFF_07,4,DSC_0184,0.216,4.2,0.154,1.357,1242.667,2100.667,102.814,0.635,2.68,0.373,0.443,0.09,0.094,0.103,0.329,55.676,0.471,-14.755,0,0,, DSC_0167
T02-C11,HES_12,2,DSC_0192,0.467,5.298,0.209,1.718,4014,1616,92.47,0.833,2.088,0.479,0.562,0.137,0.13,0.303,0.621,40.018,0.508,-46.432,0,0,, DSC_0168
T02-C13,LIC_05,3,DSC_0164,0.553,5.581,0.223,1.556,2071,1555,93.18,1.046,1.481,0.675,0.554,0.186,0.197,0.301,0.723,39.4,0.676,-35.029,0,0,, DSC_0169
T02-D02,STM_20,3,DSC_0031,0.827,7.619,0.179,1.726,2119,1304,78.826,1.348,1.064,0.94,0.518,0.237,0.206,0.462,0.965,22.493,1.061,-48.46,2,0,, DSC_0170
T02-D04,GPN_04,2,DSC_0191,0.623,4.836,0.335,1.639,1609,1766.5,93.79,1.016,1.583,0.632,0.644,0.209,0.185,0.447,0.695,39.898,0.654,-34.666,0,0,, DSC_0171
T02-D06,OGP_07,4,DSC_0189,0.68,6.365,0.211,1.885,1956,2270,88.014,1.155,1.667,0.6,0.509,0.187,0.207,0.25,0.735,35.809,0.899,-41.561,0,0,, DSC_0172
T02-D08,KAB_09,3,DSC_0169,0.474,5.714,0.182,1.531,1895,1682,95.536,0.937,1.531,0.653,0.56,0.211,0.152,0.336,0.624,39.622,0.57,-30.694,1,0,, DSC_0173
T02-D10,OGP_01,3,DSC_0039,0.939,6.83,0.253,1.831,3760.5,1180,106.021,1.391,1.114,0.897,0.587,0.296,0.276,0.515,0.823,34.509,0.789,-18.273,0,0,, DSC_0174
T02-D12,BFF_16,2,DSC_0173,0.928,8.18,0.174,2.165,1885,1846,88.259,1.616,1.32,0.758,0.433,0.175,0.18,0.392,1.06,30.186,1.05,-29.24,0,0,, DSC_0175
T02-D14,CRE_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,, DSC_0176
T02-E01,STM_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,dead, DSC_0177
T02-E03,HES_16,3,DSC_0151,0.933,9.259,0.137,2.536,2822,2864,90.57,1.263,2.118,0.472,0.516,0.218,0.2,0.416,0.673,27.046,0.678,-22.989,0,0,, DSC_0178
T02-E05,MEB_04,3,DSC_0033,1.407,9.231,0.207,2.184,4229,778,95.837,1.752,1.075,0.93,0.552,0.245,0.428,0.583,1.112,28.725,1.068,-27.897,1,0,left outer lobe is curled , DSC_0179
T02-E07,CRE_07,2,DSC_0164,0.61,6.132,0.204,1.934,3634,1603.333,108.592,1.066,1.884,0.531,0.501,0.23,0.201,0.327,0.81,64.876,0.788,-25.264,2,0,, DSC_0180
T02-E09,LIC_18,3,DSC_0171,0.818,6.742,0.226,1.713,3675,1593,95.152,1.383,1.084,0.923,0.529,0.215,0.233,0.462,0.88,28.601,0.974,-28.405,0,0,, DSC_0181
T02-E11,BFF_15,3,DSC_0178,0.328,4.71,0.186,1.35,2427,1863,88.837,0.87,1.549,0.646,0.452,0.141,0.14,0.233,0.698,46.591,0.79,-46.054,0,0,, DSC_0183
T02-E13,JCP_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower , DSC_0184
T02-F02,GPN_01,3,DSC_0160,0.633,5.979,0.223,1.588,4281,2991,94.068,1.109,1.071,0.933,0.537,0.233,0.215,0.418,0.895,42.607,0.919,-40.959,0,0,, DSC_0185
T02-F04,KAB_12,3,DSC_0178,0.475,6.09,0.161,1.642,2197,3028,96.183,0.983,1.761,0.568,0.46,0.136,0.11,0.265,0.79,55.021,0.778,-35.659,0,0,, DSC_0186
T02-F06,STM_03,3,DSC_0046,1.397,9.42,0.198,2.4,4566,1916,88.977,1.825,1.078,0.927,0.486,0.312,0.302,0.519,1.311,28.66,1.167,-37.291,1,0,petal is not completely flat , DSC_0188
T02-F08,LRR_10,3,DSC_0033,1.02,8.299,0.186,2.042,1913,1113,88.636,1.479,1.34,0.746,0.541,0.197,0.356,0.496,1.032,34.866,0.888,-34.808,1,0,left outer lobe is curled , DSC_0189
T02-F10,PMS_01,3,DSC_0022,0.948,8.956,0.149,2.002,2310,1607,87.248,1.489,1.233,0.811,0.493,0.264,0.184,0.384,0.877,19.767,0.836,-30.288,1,0,, DSC_0190
T02-F12,KAB_20,3,DSC_0172,0.889,6.53,0.262,1.735,3746,1554,83.037,1.251,1.106,0.904,0.618,0.285,0.258,0.61,0.901,28.435,0.956,-46.578,0,0,, DSC_0191
T02-F14,LRR_16,3,DSC_0159,1.039,7.496,0.232,1.907,2608,2912,88.493,1.527,1.106,0.904,0.56,0.256,0.273,0.458,0.903,23.094,0.925,-25.263,0,0,, DSC_0192
T02-G01,LIC_09,2,DSC_0167,0.565,6.099,0.191,1.715,1978,1766,88.091,1.15,1.672,0.598,0.464,0.156,0.172,0.354,0.779,39.314,0.84,-38.003,1,2,left outer lobe is curled , DSC_0193
T02-G03,SUC_04,3,DSC_0024,0.742,6.983,0.191,1.731,2381,2660,91.513,1.246,1.389,0.72,0.543,0.183,0.241,0.322,0.634,26.961,0.837,-31.769,0,0,, DSC_0194
T02-G05,CRE_08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,, DSC_0195
T02-G07,FUR_14,3,DSC_0160,0.826,6.838,0.222,2.112,2247,3246,78.653,1.169,1.823,0.549,0.583,0.188,0.193,0.415,0.698,16.699,0.745,-47.49,0,0,, DSC_0196
T02-G09,LIC_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4, 5",aphid damage ,
T02-G11,BFF_11,3,DSC_0020,1.404,11.817,0.126,2.35,2654,1579,84.764,1.685,1.339,0.747,0.513,0.306,0.28,0.659,1.293,34.077,1.271,-45,1,0,,
T02-G13,STM_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower ,
T03-A01,FUR_11,3,DSC_0036,1.574,9.786,0.207,2.599,2408,1906,85.288,1.655,1.474,0.678,0.62,0.342,0.359,0.637,0.942,27.92,0.896,-26.158,0,0,,
T03-A03,LIC_07,3,DSC_0155,0.402,4.793,0.22,1.201,3834,1493,100.852,0.908,1.506,0.664,0.589,0.153,0.146,0.244,0.545,37.255,0.587,-22.023,1,0,,
T03-A05,CRE_03,2,DSC_0175,0.642,6.239,0.207,1.751,3916,1727.5,86.856,1.233,1.239,0.807,0.467,0.228,0.199,0.349,0.93,34.992,0.944,-44.573,0,0,,
T03-A07,GPN_16,2,DSC_0175,0.361,4.169,0.261,1.442,1814,3098,82.614,0.73,2.057,0.486,0.585,0.203,0.135,0.274,0.57,39.18,0.521,-50.505,0,0,,
T03-A09,JCP_19,2,DSC_0173,0.507,5.954,0.18,1.687,3692,1816,87.104,0.999,1.476,0.677,0.49,0.193,0.206,0.356,0.622,39.793,0.609,-29.234,0,0,,
T03-A11,BFF_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,did not produce third flower ,
T03-A13,LRR_15,4,DSC_0010,1.019,6.837,0.274,1.908,3953,1120.667,90.853,1.416,1.299,0.77,0.611,0.271,0.268,0.491,0.983,100.373,0.754,67.782,0,0,,
T03-B02,SUC_12,3,DSC_0155,1.462,10.862,0.156,2.477,2340,1263,92.404,1.848,1.282,0.78,0.504,0.307,0.288,0.651,1.117,23.199,1.094,-28.713,0,0,,
T03-B04,KAB_03,3,DSC_0161,0.758,7.477,0.17,2.093,2386,1635,92.135,1.359,1.364,0.733,0.452,0.29,0.23,0.379,0.918,36.206,0.923,-37.663,0,0,,
T03-B06,BRD_16,3,DSC_0158,1.36,9.8,0.178,2.522,3613,1632,78.126,1.858,1.019,0.981,0.468,0.316,0.32,0.594,1.185,22.938,1.247,-43.321,0,0,,
T03-B08,LIC_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,
T03-B10,GPN_17,3,DSC_0169,0.279,3.957,0.224,1.175,3834,1811,88.363,0.721,1.784,0.561,0.539,0.095,0.129,0.206,0.541,49.527,0.611,-46.187,0,0,,
T03-B12,TIC_15,3,DSC_0032,1.753,9.311,0.254,2.752,4245.75,2963.25,80.717,1.889,1.152,0.868,0.555,0.414,0.387,0.564,1.188,22.49,1.233,-42.011,0,0,,
T03-B14,MEB_17,3,DSC_0181,0.891,7.521,0.198,2.218,4033,1547.75,90.441,1.487,1.264,0.791,0.438,0.271,0.274,0.331,1.137,42.933,1.07,-40.344,0,0,,
T03-C01,GPN_02,2,DSC_0173,0.41,4.698,0.233,1.549,2109,3239,87.574,0.763,2.495,0.401,0.556,0.186,0.155,0.261,0.647,48.423,0.537,-51.45,0,0,,
T03-C03,GPN_06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-C05,MEB_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-C07,CRE_09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-C09,PMS_05,5,DSC_0036,1.237,8.621,0.209,2.196,4160,1711,86.47,1.617,1.358,0.737,0.543,0.273,0.243,0.47,0.997,24.461,0.909,-36.242,0,0,,
T03-C11,HES_20,3,DSC_0172,0.971,10.167,0.118,2.365,2349,1582,81.532,1.596,1.782,0.561,0.415,0.176,0.153,0.483,1.092,26.064,0.909,-34.322,0,0,,
T03-C13,LIC_08,3,DSC_0169,0.532,5.367,0.232,1.501,1942,3075,96.934,1.09,1.298,0.771,0.549,0.194,0.176,0.258,0.674,35.272,0.698,-21.236,0,0,,
T03-D02,STM_05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-D04,FUR_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-D06,BBU_07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-D08,GPN_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,
T03-D10,GPN_07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated,
T03-D12,BFF_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T03-D14,TIC_14,3,DSC_0044,1.319,9.624,0.179,2.447,2531,2499,92.969,1.612,1.573,0.636,0.55,0.25,0.239,0.68,0.881,19.377,0.87,-20.122,0,0,,
T03-E01,MEB_02,3,DSC_0044,1.107,8.295,0.202,2.208,4083,3258,86.709,1.569,1.346,0.743,0.521,0.238,0.218,0.577,0.964,23.006,0.956,-29.588,0,0,,
T03-E03,LRR_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-E05,JCP_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-E07,BBU_16,3,DSC_0140,1.254,8.491,0.219,2.188,2453,3359,85.079,1.622,1.279,0.782,0.576,0.263,0.234,0.637,1.011,21.896,0.998,-28.048,0,0,,
T03-E09,PMS_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,only flowered once,
T03-E11,LIC_03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T03-E13,GPN_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T03-F02,MEB_18,3,DSC_0045,0.64,5.779,0.241,1.711,2198,1578,92.426,1.102,1.423,0.703,0.553,0.202,0.257,0.348,0.69,42.732,0.818,-34.535,0,0,,
T03-F04,OGP_06,3,DSC_0022,0.953,7.059,0.24,2.02,3608,1592,87.637,1.391,1.319,0.758,0.508,0.221,0.212,0.487,1.157,34.655,1.137,-47.571,0,0,,
T03-F06,OGP_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,died due to grease leak,
T03-F08,LIC_17,3,DSC_0190,0.445,5.031,0.221,1.748,2176,1636.5,97.169,0.913,2.307,0.434,0.467,0.137,0.106,0.245,0.735,45.401,0.7,-47.106,0,0,,
T03-F10,BBU_18,3,DSC_0151,0.689,6.839,0.185,1.948,4231.25,1272.25,159.129,1.239,1.838,0.544,0.433,0.215,0.178,0.358,1.062,-69.842,0.975,13.856,1,0,feret angle is weird because petal is sideways ,
T03-F12,OGP_11,3,DSC_0046,0.69,6.365,0.214,1.58,2865,2876,95.968,1.204,1.03,0.971,0.559,0.272,0.216,0.354,0.841,38.964,0.73,-27.693,0,0,,
T03-F14,FUR_16,2,DSC_0166,1.221,8.026,0.238,2.027,4150,1912,87.026,1.497,1.259,0.795,0.577,0.252,0.24,0.732,1.163,33.391,1.158,-46.764,0,0,,
T03-G01,BBU_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
