location,tag_name,bud_emerg_date,num_buds_at_emerge,flwr_date,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,scnd_flwr_date,third_flwr_date,fourth_flwr_date,exclude,exclude2 ,notes,key,notes2
T02-C05,BFF_02,11/27/23,2,12/11/23,7.6,2,pink,cream,lavender,1,12/13/23,12/17/23,NA,0,,,,
T02-C07,GPN_13,12/18/23,3,1/6/24,14.2,4,cream,cream,purple,1,1/10/24,1/14/24,NA,0,,,,
T02-C09,BFF_07,11/27/23,2,12/13/23,6.6,1,pink,NA,pink,NA,12/20/23,NA,1/22/24,0,,"anther caught too late - color could not be recorded, cannot see 4th date on scan, need paper copy",,
T02-C11,HES_12,1/8/24,2,1/28/24,16.5,2,cream,cream,lavender ,1,2/2/24,NA,NA,0,,,,
T02-C13,LIC_05,12/11/23,3,12/26/23,9.2,2,cream,cream,pink,1,12/31/23,1/6/24,NA,0,,,,
T02-D02,STM_20,11/13/23,1,12/1/23,12.9,3,cream,cream ,pink,0,12/5/23,12/9/23,NA,0,,,,
T02-D04,GPN_04,1/8/24,1,2/2/24,8.5,2,cream,cream,lavender ,1,2/7/24,NA,NA,0,0,did not produce 3rd flower ,,
T02-D06,OGP_07,12/18/23,1,1/7/24,14.8,3,cream,cream,purple,1,1/17/24,1/28/24,NA,0,,"abnormal anthers on 2, 3, wait for 4",,
T02-D08,KAB_09,12/11/23,2,12/27/23,10.7,3,purple,purple,lavender,1,1/2/24,1/9/24,NA,0,,,,
T02-D10,OGP_01,11/21/23,2,12/8/23,15.7,6,cream,lavender,pink,1,12/11/23,12/14/23,NA,0,,,,
T02-D12,BFF_16,12/18/23,2,1/4/24,9.1,1,pink,pink,pink,1,1/12/24,NA,NA,0,,2nd flower only has 3 petals,,
T02-D14,CRE_20,1/15/24,2,2/11/24,17.1,3,NA,NA,NA,NA,2/12/24,NA,NA,0,,"did not produce 3rd flower, color data not collected on 2nd ",,
T02-E01,STM_04,11/20/23,1,12/8/23,15.5,2,NA,NA,NA,NA,12/13/23,NA,NA,0,,plant marked as dead 1/8/24,,
T02-E03,HES_16,11/27/23,2,12/14/23,11.5,3,purple,lavender,pink,1,12/19/23,12/26/23,NA,0,,,,
T02-E05,MEB_04,11/20/23,1,12/6/23,21.7,3,cream,purple,purple,0,12/9/23,12/11/23,NA,0,,,,
T02-E07,CRE_07,12/11/23,1,12/28/23,14.9,1,cream,cream,pink,1,1/4/24,NA,NA,0,,data on 1st bc only 2 flowers,,
T02-E09,LIC_18,12/11/23,1,12/29/23,11.9,3,cream,cream,pink,1,NA,1/10/24,NA,0,,,,
T02-E11,BFF_15,12/18/23,2,1/4/24,4.3,2,cream,pink,lavender,1,1/9/24,1/15/24,NA,0,,,,
T02-E13,JCP_13,12/4/23,1,12/21/23,17.3,3,cream,NA,lavender,0,12/27/23,NA,NA,0,,"data collected on 2nd bs 3rd may not open; anther colour has ""? too late""",,
T02-F02,GPN_01,12/11/23,4,12/26/23,16.4,6,cream,cream,pink,1,12/30/12,1/4/24,NA,0,,,,
T02-F04,KAB_12,12/18/23,2,1/4/24,10.7,2,cream ,cream,lavender,1,1/10/24,1/15/24,NA,0,,,,
T02-F06,STM_03,11/20/23,1,12/8/23,11.7,3,cream,pink,pink,1,12/13/23,12/17/23,NA,0,,,,
T02-F08,LRR_10,11/13/23,2,12/1/23,12.6,4,cream,cream ,lavender,1,12/6/23,12/10/23,NA,0,,,,
T02-F10,PMS_01,11/13/23,3,11/22/23,7.7,2,cream,cream,lavender,1,11/29/23,12/5/23,NA,0,,,,
T02-F12,KAB_20,12/11/23,1,12/28/23,10.4,3,purple,lavender,purple,0,1/2/24,1/11/24,NA,0,,,,
T02-F14,LRR_16,11/13/23,1,12/6/23,4,2,cream,cream,pink,1,12/16/23,1/2/24,NA,0,,,,
T02-G01,LIC_09,12/11/23,1,1/2/24,13,1,cream,pink,purple,1,1/8/24,NA,NA,0,,"data collected on 2nd bud, only 2 buds",,
T02-G03,SUC_04,11/13/23,1,11/29/23,4,2,cream,cream,lavender,1,12/1/23,12/7/23,NA,0,,,,
T02-G05,CRE_08,12/4/23,1,12/21/23,12.5,3,cream,NA,purple,1,12/27/23,NA,NA,0,,"data collected on 2nd bc 3rd may not open; anther colour has ""? too late""",,
T02-G07,FUR_14,12/11/23,2,12/26/23,12.4,2,cream,lavender,pink,1,12/31/23,1/5/24,NA,0,,,,
T02-G09,LIC_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,aphid damage,,
T02-G11,BFF_11,11/13/23,3,11/26/23,10.6,4,cream,cream,pink,0,11/30/23,12/3/23,NA,0,,,,
