location,pop_fam,num_buds_at_emerge,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,bud_doy,flwr_doy,scnd_flwr_doy,third_flwr_doy,pop_name,time_fst_flwr,time_fst_scnd_flwr,CMD_gs,CMD_sp,CMD_sm,Tave_gs,Tave_sp,Tave_sm,latitude,elevation,longitude,range_position,bFFP,flwr_number,area,perimeter,circularity,feret,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,trough_length_right
T01-B10,PMS_18,2,5.3,5,cream,cream,lavender,1,317,337,339,343,PMS,20,2,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,0.742,6.627,0.212,1.788,86.201,1.24,1.575,0.635,0.542,0.208,0.179,0.365,0.861,0.761
T01-B12,CRE_18,1,18.1,5,cream,cream,purple,0,338,356,360,362,CRE,18,4,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,3,1.263,9.068,0.193,1.978,73.301,1.675,1.108,0.903,0.557,0.354,0.334,0.493,1.057,0.951
T01-B14,PMS_19,3,7.4,4,cream,cream,lavender,1,324,340,342,343,PMS,16,2,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01-C05,HES_08,1,13.2,3,cream,cream,purple,1,345,364,373,378,HES,19,9,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,0.409,4.732,0.23,1.414,96.182,0.904,1.347,0.742,0.545,0.19,0.187,0.201,0.375,0.559
T01-C07,KAB_11,1,9.2,0,cream,cream,lavender,0,331,348,382,389,KAB,17,34,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.358,4.115,0.265,1.203,25.843,0.839,1.45,0.69,0.577,0.155,0.132,0.282,0.536,0.519
T01-C09,HES_18,2,13,0,NA,NA,NA,NA,345,363,363,NA,HES,18,0,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,0.857,9.927,0.109,2.545,83.146,1.163,2.411,0.415,0.499,0.134,0.152,0.375,0.555,0.663
T01-C11,KAB_19,2,10.1,4,pink,purple,lavender,0,331,343,347,350,KAB,12,4,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.936,7.501,0.209,1.837,90.885,1.28,1.121,0.892,0.606,0.389,0.364,0.552,0.892,0.783
T01-C13,TIC_05,3,23.2,3,pink,pink,pink,1,324,342,344,347,TIC,18,2,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.703,10.939,0.179,2.545,72.208,1.915,1.257,0.796,0.565,0.342,0.32,0.726,1.008,1.16
T01-D02,STM_01,2,18.8,1,lavender,NA,pink,1,318,355,360,405,STM,37,5,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,0.386,3.942,0.312,1.289,79.16,0.608,2.263,0.442,0.766,0.135,0.119,0.229,0.295,0.287
T01-D04,LRR_18,3,11.3,5,cream,cream,lavender,1,317,329,334,347,LRR,12,5,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.254,9.539,0.173,2.218,103.949,1.724,1.273,0.785,0.525,0.252,0.224,0.567,1.051,1.021
T01-D06,LRR_17,2,5.5,3,cream,cream,lavender,1,317,335,339,346,LRR,18,4,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,0.942,10.216,0.113,2.419,100.547,1.752,1.389,0.72,0.373,0.159,0.206,0.334,1.018,1.043
T01-D08,BFF_05,3,5.9,3,purple,pink,pink,1,331,339,345,349,BFF,8,6,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,1.091,9.347,0.157,2.636,91.519,1.767,1.433,0.698,0.386,0.211,0.194,0.453,1.367,1.209
T01-D10,CRE_11,2,27.6,3,cream,cream,purple,1,345,360,364,367,CRE,15,4,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,3,1.542,10.603,0.172,2.745,104.714,1.804,1.46,0.685,0.518,0.307,0.337,0.676,1.081,1.111
T01-D12,MEB_14,5,19,5,pink,pink,pink,1,331,338,340,343,MEB,7,2,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.595,10.155,0.194,2.704,90.591,1.964,1.231,0.813,0.477,0.264,0.26,0.53,1.389,1.428
T01-D14,BRD_18,2,24.9,4,cream,pink,pink,1,345,360,362,369,BRD,15,2,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,3,0.626,5.738,0.239,1.589,102.804,1.105,1.232,0.811,0.548,0.201,0.243,0.379,0.857,0.791
T01-E01,PMS_14,1,5.1,7,cream,cream,lavender,1,324,344,346,349,PMS,20,2,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,4,0.251,2.802,0.402,1.009,68.199,0.534,2.286,0.437,0.731,0.098,0.101,0.239,0.373,0.351
T01-E03,PMS_06,1,3.3,3,cream,cream,lavender,0,324,339,343,346,PMS,15,4,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,0.899,7.133,0.222,1.988,91.513,1.228,1.45,0.69,0.547,0.227,0.311,0.451,0.753,0.645
T01-E05,FUR_12,4,16.6,4,purple,lavender,pink,0,324,337,340,342,FUR,13,3,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,3,1.939,12.02,0.169,2.775,85.361,2.052,1.044,0.958,0.53,0.445,0.399,0.64,1.385,1.43
T01-E07,BFF_14,2,6.3,1,pink,pink,purple,1,324,342,345,NA,BFF,18,3,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,4,0.932,7.939,0.186,2.272,91.704,1.434,1.607,0.622,0.489,0.138,0.172,0.459,0.797,0.912
T01-E09,JCP_06,1,17.2,2,cream,cream,purple,1,324,340,345,348,JCP,16,5,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,3,1.062,7.322,0.249,1.928,96.455,1.476,1.022,0.978,0.561,0.351,0.324,0.504,1.049,1.023
T01-E11,TIC_20,2,20.1,3,cream,cream,purple,0,324,340,343,346,TIC,16,3,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.064,8.84,0.171,2.444,75.248,1.766,1.395,0.717,0.411,0.188,0.207,0.454,1.304,1.119
T01-E13,BFF_13,2,9.4,4,cream,lavender,purple,1,317,332,336,340,BFF,15,4,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,1.322,8.674,0.221,2.233,86.078,1.704,1.154,0.867,0.516,0.303,0.343,0.596,1.235,1.191
T01-F04,FUR_19,2,15.9,1,NA,NA,NA,NA,345,360,367,NA,FUR,15,7,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01-F08,OGP_20,2,12.2,0,pink,purple,lavender,0,380,401,NA,NA,OGP,21,NA,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01-F10,PMS_08,2,8.4,4,cream,cream,lavender,0,317,324,329,332,PMS,7,5,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,0.933,7.776,0.194,1.933,171.668,1.392,1.335,0.749,0.558,0.236,0.198,0.394,0.912,0.747
T01-F12,HES_11,3,16,6,pink,pink,pink,1,331,343,347,349,HES,12,4,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,1.467,11.793,0.133,2.694,99.782,1.922,1.145,0.873,0.442,0.372,0.321,0.577,1.131,1.175
T01-F14,OGP_08,2,14.4,1,cream,cream,pink,NA,367,388,388,NA,OGP,21,0,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,0.444,4.639,0.26,1.324,96.371,0.905,1.549,0.646,0.605,0.16,0.156,0.377,0.591,0.521
T01-G01,SUC_11,2,9.3,2,cream,cream,purple,1,331,346,350,354,SUC,15,4,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,3,1.172,8.022,0.229,2.046,86.764,1.577,1.126,0.888,0.564,0.304,0.286,0.46,1.015,1.089
T01-G03,LIC_14,1,11,2,cream,cream,lavender,0,352,376,383,390,LIC,24,7,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.396,4.599,0.235,1.311,92.437,0.853,1.485,0.674,0.586,0.193,0.187,0.251,0.581,0.451
T01-G07,PMS_13,1,6.2,4,cream,cream,lavender,1,317,336,340,342,PMS,19,4,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,0.672,5.9,0.243,1.713,73.703,1.087,1.489,0.672,0.589,0.251,0.247,0.367,0.714,0.684
T01-G09,STM_06,3,17.5,2,cream,cream,pink,1,331,346,351,355,STM,15,5,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,0.75,7.689,0.159,1.921,95.175,1.415,1.363,0.733,0.457,0.167,0.147,0.354,0.834,1.016
T01-G11,SUC_13,2,8.6,3,cream,cream,pink,1,324,342,344,348,SUC,18,2,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,3,1.131,7.117,0.281,1.958,101.952,1.429,1.151,0.868,0.626,0.303,0.267,0.589,0.996,0.901
T01-G13,BRD_05,2,19.5,5,lavender,lavender,pink,1,338,353,357,350,BRD,15,4,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,3,1.344,9.05,0.206,2.271,92.221,1.677,1.128,0.887,0.575,0.43,0.374,0.545,0.745,0.901
T02-A01,FUR_06,2,14.5,2,NA,NA,NA,NA,345,372,374,NA,FUR,27,2,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,2,0.849,6.744,0.235,2.221,90.874,1.272,1.828,0.547,0.505,0.251,0.232,0.352,0.785,0.874
T02-A03,OGP_15,1,7.1,3,cream,cream,pink,1,324,340,345,347,OGP,16,5,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,1.671,11.402,0.162,2.53,59.092,2.082,1.262,0.792,0.48,0.302,0.29,0.541,1.4,1.068
T02-A05,BRD_11,1,19,2,cream,cream,purple,1,345,362,367,NA,BRD,17,5,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,2,0.653,5.289,0.293,1.623,100.263,1.101,1.282,0.78,0.584,0.254,0.204,0.421,0.854,0.746
T02-A07,HES_02,1,12.1,2,purple,purple,purple,1,338,355,361,367,HES,17,6,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,1.305,9.916,0.167,2.513,88.557,1.809,1.462,0.684,0.441,0.165,0.208,0.543,1.235,1.171
T02-A09,HES_04,1,10.1,1,cream,NA,lavender,0,331,349,357,NA,HES,18,8,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-A11,JCP_02,1,7.9,0,NA,NA,NA,NA,367,384,NA,NA,JCP,17,NA,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-A13,BBU_02,1,6.7,3,NA,NA,NA,NA,331,351,360,NA,BBU,20,9,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-B02,STM_15,2,12.3,3,cream,cream,pink,1,324,342,346,349,STM,18,4,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,0.989,9.113,0.15,2.185,6.85,1.743,1.143,0.875,0.403,0.189,0.15,0.406,1.324,1.175
T02-B04,BBU_04,3,5.6,4,cream,pink,pink,1,331,348,370,380,BBU,17,22,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,1.271,9.467,0.178,2.423,86.272,1.83,1.375,0.727,0.445,0.287,0.21,0.449,1.336,1.243
T02-B06,LRR_20,1,13.4,3,cream,cream,lavender,1,317,333,336,341,LRR,16,3,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.287,8.63,0.217,2.08,85.07,1.595,1.284,0.779,0.615,0.292,0.237,0.603,0.832,0.945
T02-B08,TIC_11,1,18.4,2,pink,cream,purple,1,331,347,352,357,TIC,16,5,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,0.827,8.189,0.155,2.103,77.3,1.415,1.559,0.641,0.447,0.234,0.18,0.435,1.159,0.787
T02-B10,MEB_03,3,17,4,cream,cream,pink,1,331,338,342,346,MEB,7,4,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.194,11.148,0.121,2.623,78.537,1.82,1.629,0.614,0.388,0.162,0.202,0.41,1.351,1.275
T02-B12,PMS_17,3,6.6,6,cream,lavender,lavender,1,317,330,333,335,PMS,13,3,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,1.066,7.821,0.219,2.042,117.685,1.411,1.348,0.742,0.579,0.263,0.299,0.441,0.681,0.892
T02-B14,LRR_11,3,8.5,3,cream,cream,lavender,1,324,339,343,347,LRR,15,4,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.53,9.331,0.221,2.38,99.742,1.84,1.101,0.908,0.571,0.325,0.292,0.645,0.999,1.111
T02-C05,BFF_02,2,7.6,2,pink,cream,lavender,1,331,345,347,351,BFF,14,2,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,1.181,9.136,0.178,2.243,88.905,1.46,1.507,0.664,0.539,0.32,0.241,0.481,0.779,0.7
T02-C07,GPN_13,3,14.2,4,cream,cream,purple,1,352,371,375,379,GPN,19,4,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,3,0.745,7.501,0.166,1.958,112.834,1.363,1.367,0.731,0.453,0.21,0.213,0.399,0.843,0.97
T02-C09,BFF_07,2,6.6,1,pink,NA,pink,NA,331,347,354,NA,BFF,16,7,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,4,0.216,4.2,0.154,1.357,102.814,0.635,2.68,0.373,0.443,0.09,0.094,0.103,0.329,0.471
T02-C11,HES_12,2,16.5,2,cream,cream,lavender,1,373,393,398,NA,HES,20,5,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,2,0.467,5.298,0.209,1.718,92.47,0.833,2.088,0.479,0.562,0.137,0.13,0.303,0.621,0.508
T02-C13,LIC_05,3,9.2,2,cream,cream,pink,1,345,360,365,371,LIC,15,5,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.553,5.581,0.223,1.556,93.18,1.046,1.481,0.675,0.554,0.186,0.197,0.301,0.723,0.676
T02-D02,STM_20,1,12.9,3,cream,cream,pink,0,317,335,339,343,STM,18,4,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,0.827,7.619,0.179,1.726,78.826,1.348,1.064,0.94,0.518,0.237,0.206,0.462,0.965,1.061
T02-D04,GPN_04,1,8.5,2,cream,cream,lavender,1,373,398,403,NA,GPN,25,5,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,2,0.623,4.836,0.335,1.639,93.79,1.016,1.583,0.632,0.644,0.209,0.185,0.447,0.695,0.654
T02-D06,OGP_07,1,14.8,3,cream,cream,purple,1,352,372,382,393,OGP,20,10,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,4,0.68,6.365,0.211,1.885,88.014,1.155,1.667,0.6,0.509,0.187,0.207,0.25,0.735,0.899
T02-D08,KAB_09,2,10.7,3,purple,purple,lavender,1,345,361,367,374,KAB,16,6,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.474,5.714,0.182,1.531,95.536,0.937,1.531,0.653,0.56,0.211,0.152,0.336,0.624,0.57
T02-D10,OGP_01,2,15.7,6,cream,lavender,pink,1,325,342,345,348,OGP,17,3,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,0.939,6.83,0.253,1.831,106.021,1.391,1.114,0.897,0.587,0.296,0.276,0.515,0.823,0.789
T02-D12,BFF_16,2,9.1,1,pink,pink,pink,1,352,369,377,NA,BFF,17,8,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,2,0.928,8.18,0.174,2.165,88.259,1.616,1.32,0.758,0.433,0.175,0.18,0.392,1.06,1.05
T02-D14,CRE_20,2,17.1,3,NA,NA,NA,NA,380,407,408,NA,CRE,27,1,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-E01,STM_04,1,15.5,2,NA,NA,NA,NA,324,342,347,NA,STM,18,5,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-E03,HES_16,2,11.5,3,purple,lavender,pink,1,331,348,353,360,HES,17,5,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,0.933,9.259,0.137,2.536,90.57,1.263,2.118,0.472,0.516,0.218,0.2,0.416,0.673,0.678
T02-E05,MEB_04,1,21.7,3,cream,purple,purple,0,324,340,343,345,MEB,16,3,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.407,9.231,0.207,2.184,95.837,1.752,1.075,0.93,0.552,0.245,0.428,0.583,1.112,1.068
T02-E07,CRE_07,1,14.9,1,cream,cream,pink,1,345,362,369,NA,CRE,17,7,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,2,0.61,6.132,0.204,1.934,108.592,1.066,1.884,0.531,0.501,0.23,0.201,0.327,0.81,0.788
T02-E09,LIC_18,1,11.9,3,cream,cream,pink,1,345,363,NA,375,LIC,18,NA,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.818,6.742,0.226,1.713,95.152,1.383,1.084,0.923,0.529,0.215,0.233,0.462,0.88,0.974
T02-E11,BFF_15,2,4.3,2,cream,pink,lavender,1,352,369,374,380,BFF,17,5,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,0.328,4.71,0.186,1.35,88.837,0.87,1.549,0.646,0.452,0.141,0.14,0.233,0.698,0.79
T02-E13,JCP_13,1,17.3,3,cream,NA,lavender,0,338,355,361,NA,JCP,17,6,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-F02,GPN_01,4,16.4,6,cream,cream,pink,1,345,360,365,369,GPN,15,5,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,3,0.633,5.979,0.223,1.588,94.068,1.109,1.071,0.933,0.537,0.233,0.215,0.418,0.895,0.919
T02-F04,KAB_12,2,10.7,2,cream,cream,lavender,1,352,369,375,380,KAB,17,6,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.475,6.09,0.161,1.642,96.183,0.983,1.761,0.568,0.46,0.136,0.11,0.265,0.79,0.778
